ID,Nombre,Ubicacion,t_ingreso,t_traspaso,t_despacho
S002,Duplicada 2,Zona 1 Guatemala,5,3,2
S003,Duplicada 3,Zona 1 Guatemala,5,3,2
S004,Duplicada 4,Zona 1 Guatemala,5,3,2
S005,Duplicada 5,Zona 1 Guatemala,5,3,2
S006,Duplicada 6,Zona 1 Guatemala,5,3,2
S007,Duplicada 7,Zona 1 Guatemala,5,3,2
S008,Duplicada 8,Zona 1 Guatemala,5,3,2
S009,Duplicada 9,Zona 1 Guatemala,5,3,2
S010,Duplicada 10,Zona 1 Guatemala,5,3,2
S011,Duplicada 11,Zona 1 Guatemala,5,3,2
S012,Duplicada 12,Zona 1 Guatemala,5,3,2
S013,Duplicada 13,Zona 1 Guatemala,5,3,2
S014,Duplicada 14,Zona 1 Guatemala,5,3,2
S015,Duplicada 15,Zona 1 Guatemala,5,3,2
S016,Duplicada 16,Zona 1 Guatemala,5,3,2
S017,Duplicada 17,Zona 1 Guatemala,5,3,2
S018,Duplicada 18,Zona 1 Guatemala,5,3,2
S019,Duplicada 19,Zona 1 Guatemala,5,3,2
S020,Duplicada 20,Zona 1 Guatemala,5,3,2
S021,Duplicada 21,Zona 1 Guatemala,5,3,2
S022,Duplicada 22,Zona 1 Guatemala,5,3,2
S023,Duplicada 23,Zona 1 Guatemala,5,3,2
S024,Duplicada 24,Zona 1 Guatemala,5,3,2
S025,Duplicada 25,Zona 1 Guatemala,5,3,2
S026,Duplicada 26,Zona 1 Guatemala,5,3,2
S027,Duplicada 27,Zona 1 Guatemala,5,3,2
S028,Duplicada 28,Zona 1 Guatemala,5,3,2
S029,Duplicada 29,Zona 1 Guatemala,5,3,2
S030,Duplicada 30,Zona 1 Guatemala,5,3,2
S031,Duplicada 31,Zona 1 Guatemala,5,3,2
S032,Duplicada 32,Zona 1 Guatemala,5,3,2
S033,Duplicada 33,Zona 1 Guatemala,5,3,2
S034,Duplicada 34,Zona 1 Guatemala,5,3,2
S035,Duplicada 35,Zona 1 Guatemala,5,3,2
S036,Duplicada 36,Zona 1 Guatemala,5,3,2
S037,Duplicada 37,Zona 1 Guatemala,5,3,2
S038,Duplicada 38,Zona 1 Guatemala,5,3,2
S039,Duplicada 39,Zona 1 Guatemala,5,3,2
S040,Duplicada 40,Zona 1 Guatemala,5,3,2
S041,Duplicada 41,Zona 1 Guatemala,5,3,2
S042,Duplicada 42,Zona 1 Guatemala,5,3,2
S043,Duplicada 43,Zona 1 Guatemala,5,3,2
S044,Duplicada 44,Zona 1 Guatemala,5,3,2
S045,Duplicada 45,Zona 1 Guatemala,5,3,2
S046,Duplicada 46,Zona 1 Guatemala,5,3,2
S047,Duplicada 47,Zona 1 Guatemala,5,3,2
S048,Duplicada 48,Zona 1 Guatemala,5,3,2
S049,Duplicada 49,Zona 1 Guatemala,5,3,2
S050,Duplicada 50,Zona 1 Guatemala,5,3,2
